"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
San Juan Bautista (Patronal),Junio,24,Cajamarca,Cajamarca,Llacanora,-7.194333,-78.423599,,,
Santa Maria Magdalena (Patronal),Julio,22,Cajamarca,Cajamarca,Magdalena,-7.250191,-78.659805,,,
San Lorenzo (Patronal),Agosto,10,Cajamarca,Cajamarca,Matara,-7.25833333,-78.25277778,,,
San Juan Bautista (Patronal),Junio,24,Cajamarca,Cajamarca,Chetilla (Porcon),-7.146261,-78.675883,,,
Virgen de la Asuncion (Patronal),Agosto,15,Cajamarca,Cajamarca,Chetilla (Porcon),-7.146261,-78.675883,,,
San Juan Bautista (Patronal),Junio,24,Cajamarca,Cajamarca,San Juan,-7.291649,-78.497764,,,
Corpus Christi (Tradicional),Junio,*,Cajamarca,Celendin,Celendin,-6.868965,-78.142714,,,
Las Cruces (Tradicional),Mayo,01-04,Cajamarca,Celendin,Celendin,-6.868965,-78.142714,,,
Niño Dios de Purarume (Patronal),Enero,14,Cajamarca,Celendin,Celendin,-6.868965,-78.142714,,,
Virgen de la Calendaria (Patronal),Febrero,01-04,Cajamarca,Celendin,Celendin,-6.868965,-78.142714,,,
Virgen del Cannen (Patronal),Julio/Agosto,15 al 04,Cajamarca,Celendin,Celendin,-6.868965,-78.142714,,,
Virgen de la Natividad (Patronal),Setiembre,8,Cajamarca,Celendin,Jorge Chavez,-6.94152902,-78.09187439,,,
Virgen de la Natividad (Patronal),Setiembre,8,Cajamarca,Celendin,Jose Galvez,-6.926011,-78.132634,,,
